material_id;diameter;body_length;wall_thickness;laminate;shoulder;closure;closure_material;packaging_code;lacquer;printing_document;customer_id
261442;50.0;173;0.5;;N-2200007050;HS2248050005;615632;VPU054;LA0173;PD054100;100642
261459;25.0;115;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VK25201;LA0180;;101341
261480;25.0;142;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0295;LA0170;PD047413;100453
261498;35.0;90;0.5;;P-2100Z01100;VS2134030M02;615334;VPU045;LA0144;PD050300;105521
261569;13.5;50;0.3;PF0405;K-060A000011;HC0613011001;606562;VK13101;LA0180;PD047462;100354
261570;13.5;50;0.3;PF0405;K-060A000011;HC0613011001;606562;VK13101;LA0180;PD047463;100354
261571;13.5;50;0.3;PF0405;K-060A000011;HC0613011001;606562;VK13101;LA0180;PD047464;100354
261580;50.0;155;0.5;;P-2100Z01100;VS2148030M02;609086;VPU052;LA0144;PD050315;101111
261646;50.0;130;0.5;;P-2100Z01100;VS2148030M04;616140;VPU052;LA0173;PD052820;100646
261647;50.0;130;0.5;;P-2100Z01100;VS2148030M04;616140;VPU052;LA0173;PD052796;100646
261648;50.0;130;0.5;;P-2100Z01100;VS2148030M04;616140;VPU052;LA0143;PD050319;100646
261665;13.5;62;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0511;LA0180;PD047701;100327
261693;13.5;50;0.3;PF0405;K-060A000011;HC0613011001;606562;VK13101;LA0180;PD047485;100354
261698;50.0;180;0.5;;P-2100Z01100;VS2148020002;617749;VPU055;LA0172;;100729
261712;19.0;100;0.4;;N-1110002025;H-1119050002;607597;VPU035;LA0172;PD055790;100643
261715;19.0;90;0.5;PF0109C;K-1500Z01014;HL1519014001;614305;VP0504;LA0180;PD047490;100354
261716;19.0;90;0.5;PF0109C;K-1500Z01014;HL1519014001;614305;VP0504;LA0180;PD047491;100354
261905;19.0;58;0.5;PF0109D;N-1100000030;HI1119057001;221749;VP0190;LA0180;PD043630;100583
261939;50.0;162;0.5;;P-2100Z01100;VS2148050V03;616262;VPU054;LAXXXX;PD050342;100642
262017;16.0;52;0.5;PF0404;N-0900000030;H-0916040003;605481;VK16101;LA0180;PD047610;100323
262025;50.0;177;0.5;PF0413;N-150GSF0060;HG1539060Z01;607664;VK50303;LA0161;PD058220;100385
262028;16.0;52;0.5;PF0404;N-0900000030;H-0916040003;605481;VK16101;LA0180;PD047620;100323
